code;description;type;manufacturer;standard
P0757; Shift Solenoid B Stuck On ;common;common;ESOBD
P0758; Shift Solenoid B Electrical ;common;common;ESOBD
P0759; Shift Solenoid B Intermittent ;common;common;ESOBD
P0760; Shift Solenoid C Malfunction ;common;common;ESOBD
P0761; Shift Solenoid C Performance or Stuck Off ;common;common;ESOBD
P0762; Shift Solenoid C Stuck On ;common;common;ESOBD
P0763; Shift Solenoid C Electrical ;common;common;ESOBD
P0764; Shift Solenoid C Intermittent ;common;common;ESOBD
P0765; Shift Solenoid D Malfunction ;common;common;ESOBD
P0766; Shift Solenoid D Performance or Stuck Off ;common;common;ESOBD
P0767; Shift Solenoid D Stuck On ;common;common;ESOBD
P0768; Shift Solenoid D Electrical ;common;common;ESOBD
P0769; Shift Solenoid D Intermittent ;common;common;ESOBD
P0770; Shift Solenoid E Malfunction ;common;common;ESOBD
P0771; Shift Solenoid E Performance or Stuck Off ;common;common;ESOBD
P0772; Shift Solenoid E Stuck On ;common;common;ESOBD
P0773; Shift Solenoid E Electrical ;common;common;ESOBD
P0774; Shift Solenoid E Intermittent ;common;common;ESOBD
P0775;" Pressure Control Solenoid ""B"" ";common;common;ESOBD
P0776;" Pressure Control Solenoid ""B"" Performance or Stuck off ";common;common;ESOBD
P0777;" Pressure Control Solenoid ""B"" Stuck On ";common;common;ESOBD
P0778;" Pressure Control Solenoid ""B"" Electrical ";common;common;ESOBD
P0779;" Pressure Control Solenoid ""B"" Intermittent ";common;common;ESOBD
P0780; Shift Malfunction ;common;common;ESOBD
P0781; 1-2 Shift Malfunction ;common;common;ESOBD
P0782; 2-3 Shift Malfunction ;common;common;ESOBD
P0783; 3-4 Shift Malfunction ;common;common;ESOBD
P0784; 4-5 Shift Malfunction ;common;common;ESOBD
P0785; Shift/Timing Solenoid Malfunction ;common;common;ESOBD
P0786; Shift/Timing Solenoid Range/Performance ;common;common;ESOBD
P0787; Shift/Timing Solenoid Low ;common;common;ESOBD
P0788; Shift/Timing Solenoid High ;common;common;ESOBD
P0789; Shift/Timing Solenoid Intermittent ;common;common;ESOBD
P0790; Normal/Performance Switch Circuit Malfunction ;common;common;ESOBD
P0791; Intermediate Shaft Speed Sensor “A” Circuit ;common;common;ESOBD
P0792; Intermediate Shaft Speed Sensor “A” Circuit Range/Performance ;common;common;ESOBD
P0793; Intermediate Shaft Speed Sensor “A” Circuit No Signal ;common;common;ESOBD
P0794; Intermediate Shaft Speed Sensor “A” Circuit Intermittent ;common;common;ESOBD
P0795;" Pressure Control Solenoid ""C"" ";common;common;ESOBD
P0796;" Pressure Control Solenoid ""C"" Performance or Stuck off ";common;common;ESOBD
P0797;" Pressure Control Solenoid ""C"" Stuck On ";common;common;ESOBD
P0798;" Pressure Control Solenoid ""C"" Electrical ";common;common;ESOBD
P0799;" Pressure Control Solenoid ""C"" Intermittent ";common;common;ESOBD
P0800; Transfer Case Control System (MIL Request) ;common;common;ESOBD
P0801; Reverse Inhibit Control Circuit Malfunction ;common;common;ESOBD
P0802; Transmission Control System MIL Request Circuit/Open ;common;common;ESOBD
P0803; 1-4 Upshift (Skip Shift) Solenoid Control Circuit Malfunction ;common;common;ESOBD
P0804; 1-4 Upshift (Skip Shift) Lamp Control Circuit Malfunction ;common;common;ESOBD
P0805; Clutch Position Sensor Circuit ;common;common;ESOBD
P0806; Clutch Position Sensor Circuit Range/Performance ;common;common;ESOBD
P0807; Clutch Position Sensor Circuit Low ;common;common;ESOBD
P0808; Clutch Position Sensor Circuit High ;common;common;ESOBD
P0809; Clutch Position Sensor Circuit Intermittent ;common;common;ESOBD
P0810; Clutch Position Control Error ;common;common;ESOBD
P0811; Excessive Clutch Slippage ;common;common;ESOBD
P0812; Reverse Input Circuit ;common;common;ESOBD
P0813; Reverse Output Circuit ;common;common;ESOBD
P0814; Transmission Range Display Circuit ;common;common;ESOBD
P0815; Upshift Switch Circuit ;common;common;ESOBD
P0816; Downshift Switch Circuit ;common;common;ESOBD
P0817; Starter Disable Circuit ;common;common;ESOBD
P0818; Driveline Disconnect Switch Input Circuit ;common;common;ESOBD
P0819; Up and Down Shift Switch to Transmission Range Correlation ;common;common;ESOBD
P0820; Gear Lever X-Y Position Sensor Circuit ;common;common;ESOBD
P0821; Gear Lever X Position Circuit ;common;common;ESOBD
P0822; Gear Lever Y Position Circuit ;common;common;ESOBD
P0823; Gear Lever X Position Circuit Intermittent ;common;common;ESOBD
P0824; Gear Lever Y Position Circuit Intermittent ;common;common;ESOBD
P0825; Gear Lever Push-Pull Switch (Shift Anticipate ;common;common;ESOBD
P0826; Up and Down Shift Switch Circuit ;common;common;ESOBD
P0827; Up and Down Shift Switch Circuit Low ;common;common;ESOBD
P0828; Up and Down Shift Switch Circuit High ;common;common;ESOBD
P0829; 5-6 Shift ;common;common;ESOBD
P0830;" Clutch Pedal Switch ""A"" Circuit ";common;common;ESOBD
P0831;" Clutch Pedal Switch ""A"" Circuit Low ";common;common;ESOBD
P0832;" Clutch Pedal Switch ""A"" Circuit High ";common;common;ESOBD
P0833;" Clutch Pedal Switch ""B"" Circuit ";common;common;ESOBD
P0834;" Clutch Pedal Switch ""B"" Circuit Low ";common;common;ESOBD
P0835;" Clutch Pedal Switch ""B"" Circuit High ";common;common;ESOBD
P0836; Four Wheel Drive (4WD) Switch Circuit ;common;common;ESOBD
P0837; Four Wheel Drive (4WD) Switch Circuit Range/Performance ;common;common;ESOBD
P0838; Four Wheel Drive (4WD) Switch Circuit Low ;common;common;ESOBD
P0839; Four Wheel Drive (4WD) Switch Circuit High ;common;common;ESOBD
P0840;" Transmission Fluid Pressure Sensor/Switch ""A"" Circuit ";common;common;ESOBD
P0840;" Transmission Fluid Pressure Sensor/Switch ""A"" Circuit ";common;common;ESOBD
P0841;" Transmission Fluid Pressure Sensor/Switch ""A"" Circuit Range/Performance ";common;common;ESOBD
P0842;" Transmission Fluid Pressure Sensor/Switch ""A"" Circuit Low ";common;common;ESOBD
P0843;" Transmission Fluid Pressure Sensor/Switch ""A"" Circuit High ";common;common;ESOBD
P0844;" Transmission Fluid Pressure Sensor/Switch ""A"" Circuit Intermittent ";common;common;ESOBD
P0845;" Transmission Fluid Pressure Sensor/Switch ""B"" Circuit ";common;common;ESOBD
P0846;" Transmission Fluid Pressure Sensor/Switch ""B"" Circuit Range/Performance ";common;common;ESOBD
P0847;" Transmission Fluid Pressure Sensor/Switch ""B"" Circuit Low ";common;common;ESOBD
P0848;" Transmission Fluid Pressure Sensor/Switch ""B"" Circuit High ";common;common;ESOBD
P0849;" Transmission Fluid Pressure Sensor/Switch ""B"" Circuit Intermittent ";common;common;ESOBD
P0850; Park/Neutral Switch Input Circuit ;common;common;ESOBD
P0851; Park/Neutral Switch Input Circuit Low ;common;common;ESOBD
P0852; Park/Neutral Switch Input Circuit High ;common;common;ESOBD
P0853; Drive Switch Input Circuit ;common;common;ESOBD
P0854; Drive Switch Input Circuit Low ;common;common;ESOBD
P0855; Drive Switch Input Circuit High ;common;common;ESOBD
P0856; Traction Control Input Signal ;common;common;ESOBD
P0857; Traction Control Input Signal Range/Performance ;common;common;ESOBD
P0858; Traction Control Input Signal Low ;common;common;ESOBD
P0859; Traction Control Input Signal High ;common;common;ESOBD
P0860; Gear Shift Module Communication Circuit ;common;common;ESOBD
P0861; Gear Shift Module Communication Circuit Low ;common;common;ESOBD
P0862; Gear Shift Module Communication Circuit High ;common;common;ESOBD
P0863; TCM Communication Circuit ;common;common;ESOBD
P0864; TCM Communication Circuit Range/Performance ;common;common;ESOBD
P0865; TCM Communication Circuit Low ;common;common;ESOBD
P0866; TCM Communication Circuit High ;common;common;ESOBD
P0867; Transmission Fluid Pressure ;common;common;ESOBD
P0868; Transmission Fluid Pressure Low ;common;common;ESOBD
P0869; Transmission Fluid Pressure High ;common;common;ESOBD
P0869; Transmission Fluid Pressure High ;common;common;ESOBD
P0870; Transmission Fluid Pressure Sensor/Switch “C” Circuit ;common;common;ESOBD
P0871; Transmission Fluid Pressure Sensor/Switch “C” Circuit Range/Performance ;common;common;ESOBD
P0872; Transmission Fluid Pressure Sensor/Switch “C” Circuit Low ;common;common;ESOBD
P0873; Transmission Fluid Pressure Sensor/Switch “C” Circuit High ;common;common;ESOBD
P0874; Transmission Fluid Pressure Sensor/Switch “C” Circuit Intermittent ;common;common;ESOBD
P0875; Transmission Fluid Pressure Sensor/Switch “D” Circuit ;common;common;ESOBD
P0876; Transmission Fluid Pressure Sensor/Switch “D” Circuit Range/Performance ;common;common;ESOBD
P0877; Transmission Fluid Pressure Sensor/Switch “D” Circuit Low ;common;common;ESOBD
P0878; Transmission Fluid Pressure Sensor/Switch “D” Circuit High ;common;common;ESOBD
P0879; Transmission Fluid Pressure Sensor/Switch “D” Circuit Intermittent ;common;common;ESOBD
P0880; TCM Power Input Signal ;common;common;ESOBD
P0881; TCM Power Input Signal Range/Performance ;common;common;ESOBD
P0882; TCM Power Input Signal Low ;common;common;ESOBD
P0883; TCM Power Input Signal High ;common;common;ESOBD
P0884; TCM Power Input Signal Intermittent ;common;common;ESOBD
P0885; TCM Power Relay Control Circuit/Open ;common;common;ESOBD
P0886; TCM Power Relay Control Circuit Low ;common;common;ESOBD
P0887; TCM Power Relay Control Circuit High ;common;common;ESOBD
P0888; TCM Power Relay Sense Circuit ;common;common;ESOBD
P0889; TCM Power Relay Sense Circuit Range/Performance ;common;common;ESOBD
P0890; TCM Power Relay Sense Circuit Low ;common;common;ESOBD
P0891; TCM Power Relay Sense Circuit High ;common;common;ESOBD
P0892; TCM Power Relay Sense Circuit Intermittent ;common;common;ESOBD
P0893; Multiple Gears Engaged ;common;common;ESOBD
P0894; Transmission Component Slipping ;common;common;ESOBD
P0895; Shift Time Too Short ;common;common;ESOBD
P0896; Shift Time Too Long ;common;common;ESOBD
P0897; Transmission Fluid Deteriorated ;common;common;ESOBD
P0898; Transmission Control System MIL Request Circuit Low ;common;common;ESOBD
P0899;;common;common;ESOBD
P2000; NOx Trap Efficiency Below Threshold Bank1 ;common;common;ESOBD
P2001; NOx Trap Efficiency Below Threshold Bank2 ;common;common;ESOBD
P2002; Diesel Particulate Filter Efficiency Below Threshold Bank 1 ;common;common;ESOBD
P2003; Diesel Particulate Filter Efficiency Below Threshold Bank 2 ;common;common;ESOBD
P2004; Intake Manifold Runner Ctrl Stuck Open Bank1 ;common;common;ESOBD
P2005; Intake Manifold Runner Ctrl Stuck Open Bank2 ;common;common;ESOBD
P2006; Intake Manifold Runner Ctrl Stuck Closed Bank1 ;common;common;ESOBD
P2007; Intake Manifold Runner Ctrl Stuck Closed Bank2 ;common;common;ESOBD
P2008; Intake Manifold Runner Ctrl Circ/Open Bank1 ;common;common;ESOBD
P2009; Intake Manifold Runner Ctrl Circ Low Bank1 ;common;common;ESOBD
P2010; Intake Manifold Runner Ctrl Circ High Bank1 ;common;common;ESOBD
P2011; Intake Manifold Runner Ctrl Circ/Open Bank2 ;common;common;ESOBD
P2012; Intake Manifold Runner Ctrl Circ Low Bank2 ;common;common;ESOBD
P2013; Intake Manifold Runner Ctrl Circ High Bank2 ;common;common;ESOBD
P2014; Intake Manifold Runner Pos Sensor/Switch Circ Bank1 ;common;common;ESOBD
P2015; Intake Manifold Runner Pos Sensor/Switch Circ Range/Perf Bank1 ;common;common;ESOBD
P2016; Intake Manifold Runner Pos Sensor/Switch Circ Low Bank1 ;common;common;ESOBD
P2017; Intake Manifold Runner Pos Sensor/Switch Circ High Bank1 ;common;common;ESOBD
P2018; Intake Manifold Runner Pos Sensor/Switch Circ Interm Bank1 ;common;common;ESOBD
P2019; Intake Manifold Runner Pos Sensor/Switch Circ Bank2 ;common;common;ESOBD
P2020; Intake Manifold Runner Pos Sensor/Switch Circ Range/Perf Bank2 ;common;common;ESOBD
P2021; Intake Manifold Runner Pos Sensor/Switch Circ Low Bank2 ;common;common;ESOBD
P2022; Intake Manifold Runner Pos Sensor/Switch Circ High Bank2 ;common;common;ESOBD
P2023; Intake Manifold Runner Pos Sensor/Switch Circ Interm Bank2 ;common;common;ESOBD
P2024; EVAP Fuel Vapor Temp Sensor Circ ;common;common;ESOBD
P2025; EVAP Fuel Vapor Temp Sensor Perf ;common;common;ESOBD
P2026; EVAP Fuel Vapor Temp Sensor Circ Low Voltage ;common;common;ESOBD
P2027; EVAP Fuel Vapor Temp Sensor Circ High Voltage ;common;common;ESOBD
P2028; EVAP Fuel Vapor Temp Sensor Circ Interm ;common;common;ESOBD
P2029; Fuel Fired Heater Disabled ;common;common;ESOBD
P2030; Fuel Fired Heater Perf ;common;common;ESOBD
P2031; Exhaust Gas Temp Sensor Circ Bank1 Sensor 2 ;common;common;ESOBD
P2032; Exhaust Gas Temp Sensor Circ Low Bank1 Sensor 2 ;common;common;ESOBD
P2033; Exhaust Gas Temp Sensor Circ High Bank1 Sensor 2 ;common;common;ESOBD
P2034; Exhaust Gas Temp Sensor Circ Bank2 Sensor 2 ;common;common;ESOBD
P2035; Exhaust Gas Temp Sensor Circ Low Bank2 Sensor 2 ;common;common;ESOBD
P2036; Exhaust Gas Temp Sensor Circ High Bank2 Sensor 2 ;common;common;ESOBD
P2037; Reductant Inj Air Press Sensor Circ ;common;common;ESOBD
P2038; Reductant Inj Air Press Sensor Circ Range/Perf ;common;common;ESOBD
P2039; Reductant Inj Air Press Sensor Circ Low Input ;common;common;ESOBD
P2040; Reductant Inj Air Press Sensor Circ High Input ;common;common;ESOBD
P2041; Reductant Inj Air Press Sensor Circ Interm ;common;common;ESOBD
P2042; Reductant Temp Sensor Circ ;common;common;ESOBD
P2043; Reductant Temp Sensor Circ Range/Perf ;common;common;ESOBD
P2044; Reductant Temp Sensor Circ Low Input ;common;common;ESOBD
P2045; Reductant Temp Sensor Circ High Input ;common;common;ESOBD
P2046; Reductant Temp Sensor Circ Interm ;common;common;ESOBD
P2047; Reductant Injector Circ/Open Bank1 Unit 1 ;common;common;ESOBD
P2048; Reductant Injector Circ Low Bank1 Unit 1 ;common;common;ESOBD
P2049; Reductant Injector Circ High Bank1 Unit 1 ;common;common;ESOBD
P2050; Reductant Injector Circ/Open Bank2 Unit 1 ;common;common;ESOBD
P2051; Reductant Injector Circ Low Bank2 Unit 1 ;common;common;ESOBD
P2052; Reductant Injector Circ High Bank2 Unit 1 ;common;common;ESOBD
P2053; Reductant Injector Circ/Open Bank1 Unit 2 ;common;common;ESOBD
P2054; Reductant Injector Circ Low Bank1 Unit 2 ;common;common;ESOBD
P2055; Reductant Injector Circ High Bank1 Unit 2 ;common;common;ESOBD
P2056; Reductant Injector Circ/Open Bank2 Unit 2 ;common;common;ESOBD
P2057; Reductant Injector Circ Low Bank2 Unit 2 ;common;common;ESOBD
P2058; Reductant Injector Circ High Bank2 Unit 2 ;common;common;ESOBD
P2059; Reductant Inj Air Pump Ctrl Circ/Open ;common;common;ESOBD
P2060; Reductant Inj Air Pump Ctrl Circ Low ;common;common;ESOBD
P2061; Reductant Inj Air Pump Ctrl Circ High ;common;common;ESOBD
P2062; Reductant Supply Ctrl Circ/Open ;common;common;ESOBD
P2063; Reductant Supply Ctrl Circ Low ;common;common;ESOBD
P2064; Reductant Supply Ctrl Circ High ;common;common;ESOBD
P2065; Fuel Level SensorB Circ ;common;common;ESOBD
P2066; Fuel Level SensorB Perf ;common;common;ESOBD
P2067; Fuel Level SensorB Circ Low ;common;common;ESOBD
P2068; Fuel Level SensorB Circ High ;common;common;ESOBD
P2069; Fuel Level SensorB Circ Interm ;common;common;ESOBD
P2070; Intake Manifold Tuning (IMT) Valve Stuck Open ;common;common;ESOBD
P2071; IMT Valve Stuck Closed ;common;common;ESOBD
P2072; Throttle Actuator Control System - Ice Blockage ;common;common;ESOBD
P2073; Manifold Absolute Pressure/Mass Air Flow - Throttle Position Correlation at Idle ;common;common;ESOBD
P2074; Manifold Absolute Pressure/Mass Air Flow - Throttle Position Correlation at Higher Load ;common;common;ESOBD
P2075; IMT Valve Pos Sensor/Switch Circ ;common;common;ESOBD
P2076; IMT Valve Pos Sensor/Switch Circ Range/Perf ;common;common;ESOBD
P2077; IMT Valve Pos Sensor/Switch Circ Low ;common;common;ESOBD
P2078; IMT Valve Pos Sensor/Switch Circ High ;common;common;ESOBD
P2079; IMT Valve Pos Sensor/Switch Circ Interm ;common;common;ESOBD
P2080; Exhaust Gas Temp Sensor Circ Range/Perf Bank1 Sensor 1 ;common;common;ESOBD
P2081; Exhaust Gas Temp Sensor Circ Interm Bank1 Sensor 1 ;common;common;ESOBD
P2082; Exhaust Gas Temp Sensor Circ Range/Perf Bank2 Sensor 1 ;common;common;ESOBD
P2083; Exhaust Gas Temp Sensor Circ Interm Bank2 Sensor 1 ;common;common;ESOBD
P2084; Exhaust Gas Temp Sensor Circ Range/Perf Bank1 Sensor 2 ;common;common;ESOBD
P2085; Exhaust Gas Temp Sensor Circ Interm Bank1 Sensor 2 ;common;common;ESOBD
P2086; Exhaust Gas Temp Sensor Circ Range/Perf Bank2 Sensor 2 ;common;common;ESOBD
P2087; Exhaust Gas Temp Sensor Circ Interm Bank2 Sensor 2 ;common;common;ESOBD
P2088; A Camshaft Pos Actuator Ctrl Circ Low Bank1 ;common;common;ESOBD
P2089; A Camshaft Pos Actuator Ctrl Circ High Bank1 ;common;common;ESOBD
P2090; B Camshaft Pos Actuator Ctrl Circ Low Bank1 ;common;common;ESOBD
P2091; B Camshaft Pos Actuator Ctrl Circ High Bank1 ;common;common;ESOBD
P2092; A Camshaft Pos Actuator Ctrl Circ Low Bank2 ;common;common;ESOBD
P2093; A Camshaft Pos Actuator Ctrl Circ High Bank2 ;common;common;ESOBD
P2094; B Camshaft Pos Actuator Ctrl Circ Low Bank2 ;common;common;ESOBD
P2095; B Camshaft Pos Actuator Ctrl Circ High Bank2 ;common;common;ESOBD
P2096; Post Catalyst Fuel Trim System Too Lean Ban k1 ;common;common;ESOBD
P2097; Post Catalyst Fuel Trim System Too Rich Bank 1 ;common;common;ESOBD
P2098; Post Catalyst Fuel Trim System Too Lean Bank 2 ;common;common;ESOBD
P2099; Post Catalyst Fuel Trim System Too Rich Bank 2 ;common;common;ESOBD
P2100; Throttle Actuator Ctrl Motor Circ/Open ;common;common;ESOBD
P2101; Throttle Actuator Ctrl Motor Circ Range/Perf ;common;common;ESOBD
P2102; Throttle Actuator Ctrl Motor Circ Low ;common;common;ESOBD
P2103; Throttle Actuator Ctrl Motor Circ High ;common;common;ESOBD
P2104; Throttle Actuator Ctrl Sys-Forced Idle ;common;common;ESOBD
P2105; Throttle Actuator Ctrl Sys-Forced Engine Shutdown ;common;common;ESOBD
P2106; Throttle Actuator Ctrl Sys-Forced Limited Power ;common;common;ESOBD
P2107; Throttle Actuator Ctrl Mod Processor ;common;common;ESOBD
P2108; Throttle Actuator Ctrl Mod Perf ;common;common;ESOBD
P2109; Throttle/Pedal Pos SensorA Minimum Stop Perf ;common;common;ESOBD
P2110; Throttle Actuator Ctrl Sys-Forced Limited RPM ;common;common;ESOBD
P2111; Throttle Actuator Ctrl Sys-Stuck Open ;common;common;ESOBD
P2112; Throttle Actuator Ctrl Sys-Stuck Closed ;common;common;ESOBD
P2113; Throttle/Pedal Pos SensorB Minimum Stop Perf ;common;common;ESOBD
P2114; Throttle/Pedal Pos Sensor C Minimum Stop Perf ;common;common;ESOBD
P2115; Throttle/Pedal Pos Sensor D Minimum Stop Perf ;common;common;ESOBD
P2116; Throttle/Pedal Pos Sensor E Minimum Stop Perf ;common;common;ESOBD
P2117; Throttle/Pedal Pos Sensor F Minimum Stop Perf ;common;common;ESOBD
P2118; Throttle Actuator Ctrl Motor Current Range/Perf ;common;common;ESOBD
P2119; Throttle Actuator Ctrl Throttle Body Range/Perf ;common;common;ESOBD
P2120; Throttle/Pedal Pos Sensor/Switch D Circ ;common;common;ESOBD
P2121; Throttle/Pedal Pos Sensor/Switch D Circ Range/Perf ;common;common;ESOBD
P2122; Throttle/Pedal Pos Sensor/Switch D Circ Low Input ;common;common;ESOBD
P2123; Throttle/Pedal Pos Sensor/Switch D Circ High Input ;common;common;ESOBD
P2124; Throttle/Pedal Pos Sensor/Switch D Circ Interm ;common;common;ESOBD
P2125; Throttle/Pedal Pos Sensor/Switch E Circ ;common;common;ESOBD
P2126; Throttle/Pedal Pos Sensor/Switch E Circ Range/Perf ;common;common;ESOBD
P2127; Throttle/Pedal Pos Sensor/Switch E Circ Low Input ;common;common;ESOBD
P2128; Throttle/Pedal Pos Sensor/Switch E Circ High Input ;common;common;ESOBD
P2129; Throttle/Pedal Pos Sensor/Switch E Circ Interm ;common;common;ESOBD
P2130; Throttle/Pedal Pos Sensor/Switch F Circ ;common;common;ESOBD
P2131; Throttle/Pedal Pos Sensor/Switch F Circ Range Perf ;common;common;ESOBD
P2132; Throttle/Pedal Pos Sensor/Switch F Circ Low Input ;common;common;ESOBD
P2133; Throttle/Pedal Pos Sensor/Switch F Circ High Input ;common;common;ESOBD
P2134; Throttle/Pedal Pos Sensor/Switch F Circ Interm ;common;common;ESOBD
P2135; Throttle/Pedal Pos Sensor/Switch A / B Voltage Correlation ;common;common;ESOBD
P2136; Throttle/Pedal Pos Sensor/Switch A / C Voltage Correlation ;common;common;ESOBD
P2137; Throttle/Pedal Pos Sensor/Switch B / C Voltage Correlation ;common;common;ESOBD
P2138; Throttle/Pedal Pos Sensor/Switch D / E Voltage Correlation ;common;common;ESOBD
P2139; Throttle/Pedal Pos Sensor/Switch D / F Voltage Correlation ;common;common;ESOBD
P2140; Throttle/Pedal Pos Sensor/Switch E / F Voltage Correlation ;common;common;ESOBD
P2141; Exhaust Gas Recirculation Throttle Ctrl Circ Low ;common;common;ESOBD
P2142; Exhaust Gas Recirculation Throttle Ctrl Circ High ;common;common;ESOBD
P2143; Exhaust Gas Recirculation Vent Ctrl Circ/Open ;common;common;ESOBD
P2144; Exhaust Gas Recirculation Vent Ctrl Circ Low ;common;common;ESOBD
P2145; Exhaust Gas Recirculation Vent Ctrl Circ High ;common;common;ESOBD
P2146; Fuel Injector Group A Supply Voltage Circ/Open ;common;common;ESOBD
P2147; Fuel Injector Group A Supply Voltage Circ Low ;common;common;ESOBD
P2148; Fuel Injector Group A Supply Voltage Circ High ;common;common;ESOBD
P2149; Fuel Injector Group B Supply Voltage Circ/Open ;common;common;ESOBD
P2150; Fuel Injector Group B Supply Voltage Circ Low ;common;common;ESOBD
P2151; Fuel Injector Group B Supply Voltage Circ High ;common;common;ESOBD
P2152; Fuel Injector Group C Supply Voltage Circ/Open ;common;common;ESOBD
P2153; Fuel Injector Group C Supply Voltage Circ Low ;common;common;ESOBD
P2154; Fuel Injector Group C Supply Voltage Circ High ;common;common;ESOBD
P2155; Fuel Injector Group D Supply Voltage Circ/Open ;common;common;ESOBD
P2156; Fuel Injector Group D Supply Voltage Circ Low ;common;common;ESOBD
P2157; Fuel Injector Group D Supply Voltage Circ High ;common;common;ESOBD
P2158; Vehicle Speed SensorB ;common;common;ESOBD
P2159; Vehicle Speed SensorB Range/Perf ;common;common;ESOBD
P2160; Vehicle Speed SensorB Circ Low ;common;common;ESOBD
P2161; Vehicle Speed SensorB Interm/Erratic ;common;common;ESOBD
P2162; Vehicle Speed SensorA / B Correlation ;common;common;ESOBD
P2163; Throttle/Pedal Pos SensorA Maximum Stop Perf ;common;common;ESOBD
P2164; Throttle/Pedal Pos SensorB Maximum Stop Perf ;common;common;ESOBD
P2165; Throttle/Pedal Pos Sensor C Maximum Stop Perf ;common;common;ESOBD
P2166; Throttle/Pedal Pos Sensor D Maximum Stop Perf ;common;common;ESOBD
P2167; Throttle/Pedal Pos Sensor E Maximum Stop Perf ;common;common;ESOBD
P2168; Throttle/Pedal Pos Sensor F Maximum Stop Perf ;common;common;ESOBD
P2169; Exhaust Press Reg Vent Solenoid Ctrl Circ/Open ;common;common;ESOBD
P2170; Exhaust Press Reg Vent Solenoid Ctrl Circ Low ;common;common;ESOBD
P2171; Exhaust Press Reg Vent Solenoid Ctrl Circ High ;common;common;ESOBD
P2172; Throttle Actuator Ctrl Sys-Sudden High Airflow Detected ;common;common;ESOBD
P2173; Throttle Actuator Ctrl Sys-High Airflow Detected ;common;common;ESOBD
P2174; Throttle Actuator Ctrl Sys-Sudden Low Airflow Detected ;common;common;ESOBD
P2175; Throttle Actuator Ctrl Sys-Low Airflow Detected ;common;common;ESOBD
P2176; Throttle Actuator Ctrl Sys-Idle Pos Not Learned ;common;common;ESOBD
P2177; Sys Too Lean Off Idle Bank1 ;common;common;ESOBD
P2178; Sys Too Rich Off Idle Bank1 ;common;common;ESOBD
P2179; Sys Too Lean Off Idle Bank2 ;common;common;ESOBD
P2180; Sys Too Rich Off Idle Bank2 ;common;common;ESOBD
P2181; Cooling System Performance ;common;common;ESOBD
P2182; Engine Coolant Temp Sensor 2 Circ ;common;common;ESOBD
P2183; Engine Coolant Temp Sensor 2 Circ Range/Perf ;common;common;ESOBD
P2184; Engine Coolant Temp Sensor 2 Circ Low ;common;common;ESOBD
P2185; Engine Coolant Temp Sensor 2 Circ High ;common;common;ESOBD
P2186; Engine Coolant Temp Sensor 2 Circ Interm/Erratic ;common;common;ESOBD
P2187; Sys Too Lean at Idle Bank1 ;common;common;ESOBD
P2188; Sys Too Rich at Idle Bank1 ;common;common;ESOBD
P2189; Sys Too Lean at Idle Bank2 ;common;common;ESOBD
P2190; Sys Too Rich at Idle Bank2 ;common;common;ESOBD
P2191; Sys Too Lean at Higher Load Bank1 ;common;common;ESOBD
P2192; Sys Too Rich at Higher Load Bank1 ;common;common;ESOBD
P2193; Sys Too Lean at Higher Load Bank2 ;common;common;ESOBD
P2194; Sys Too Rich at Higher Load Bank2 ;common;common;ESOBD
P2195; O2 Sensor Signal Stuck Lean Bank1 Sensor 1 ;common;common;ESOBD
P2196; O2 Sensor Signal Stuck Rich Bank1 Sensor 1 ;common;common;ESOBD
P2197; O2 Sensor Signal Stuck Lean Bank2 Sensor 1 ;common;common;ESOBD
P2198; O2 Sensor Signal Stuck Rich Bank2 Sensor 1 ;common;common;ESOBD
P2199; Intake Air Temp Sensor 1 / 2 Correlation ;common;common;ESOBD
P2200; NOx Sensor Circ Bank1 ;common;common;ESOBD
P2201; NOx Sensor Circ Range/Perf Bank1 ;common;common;ESOBD
P2202; NOx Sensor Circ Low Input Bank1 ;common;common;ESOBD
P2203; NOx Sensor Circ High Input Bank1 ;common;common;ESOBD
P2204; NOx Sensor Circ Interm Input Bank1 ;common;common;ESOBD
P2205; NOx Sensor Heater Ctrl Circ/Open Bank1 ;common;common;ESOBD
P2206; NOx Sensor Heater Ctrl Circ Low Bank1 ;common;common;ESOBD
P2207; NOx Sensor Heater Ctrl Circ High Bank1 ;common;common;ESOBD
P2208; NOx Sensor Heater Sense Circ Bank1 ;common;common;ESOBD
P2209; NOx Sensor Heater Sense Circ Range/Perf Bank1 ;common;common;ESOBD
P2210; NOx Sensor Heater Sense Circ Low Input Bank1 ;common;common;ESOBD
P2211; NOx Sensor Heater Sense Circ High Input Bank1 ;common;common;ESOBD
P2212; NOx Sensor Heater Sense Circ Interm Bank1 ;common;common;ESOBD
P2213; NOx Sensor Circ Bank2 ;common;common;ESOBD
P2214; NOx Sensor Circ Range/Perf Bank2 ;common;common;ESOBD
P2215; NOx Sensor Circ Low Input Bank2 ;common;common;ESOBD
P2216; NOx Sensor Circ High Input Bank2 ;common;common;ESOBD
P2217; NOx Sensor Circ Interm Input Bank2 ;common;common;ESOBD
P2218; NOx Sensor Heater Ctrl Circ/Open Bank2 ;common;common;ESOBD
P2219; NOx Sensor Heater Ctrl Circ Low Bank2 ;common;common;ESOBD
P2220; NOx Sensor Heater Ctrl Circ High Bank2 ;common;common;ESOBD
P2221; NOx Sensor Heater Sense Circ Bank2 ;common;common;ESOBD
